"n_universe","de_fraction","n_de","n_pathway","n_signal","replicate","stability"
500,0.1,50,50,10,1,0.745
500,0.1,50,50,10,2,0.69
500,0.1,50,50,10,3,0.735
500,0.1,50,50,10,4,0.68
500,0.1,50,50,10,5,0.725
500,0.1,50,50,10,6,0.675
500,0.1,50,50,10,7,0.695
500,0.1,50,50,10,8,0.735
500,0.1,50,50,10,9,0.745
500,0.1,50,50,10,10,0.73
500,0.1,50,50,10,11,0.745
500,0.1,50,50,10,12,0.765
500,0.1,50,50,10,13,0.76
500,0.1,50,50,10,14,0.715
500,0.1,50,50,10,15,0.765
500,0.1,50,50,10,16,0.71
500,0.1,50,50,10,17,0.725
500,0.1,50,50,10,18,0.745
500,0.1,50,50,10,19,0.725
500,0.1,50,50,10,20,0.72
800,0.1,80,50,10,1,0.745
800,0.1,80,50,10,2,0.675
800,0.1,80,50,10,3,0.695
800,0.1,80,50,10,4,0.695
800,0.1,80,50,10,5,0.665
800,0.1,80,50,10,6,0.715
800,0.1,80,50,10,7,0.67
800,0.1,80,50,10,8,0.695
800,0.1,80,50,10,9,0.66
800,0.1,80,50,10,10,0.675
800,0.1,80,50,10,11,0.715
800,0.1,80,50,10,12,0.7
800,0.1,80,50,10,13,0.68
800,0.1,80,50,10,14,0.7
800,0.1,80,50,10,15,0.74
800,0.1,80,50,10,16,0.7
800,0.1,80,50,10,17,0.715
800,0.1,80,50,10,18,0.68
800,0.1,80,50,10,19,0.74
800,0.1,80,50,10,20,0.68
1000,0.1,100,50,10,1,0.695
1000,0.1,100,50,10,2,0.65
1000,0.1,100,50,10,3,0.68
1000,0.1,100,50,10,4,0.745
1000,0.1,100,50,10,5,0.695
1000,0.1,100,50,10,6,0.73
1000,0.1,100,50,10,7,0.66
1000,0.1,100,50,10,8,0.74
1000,0.1,100,50,10,9,0.745
1000,0.1,100,50,10,10,0.67
1000,0.1,100,50,10,11,0.725
1000,0.1,100,50,10,12,0.71
1000,0.1,100,50,10,13,0.7
1000,0.1,100,50,10,14,0.71
1000,0.1,100,50,10,15,0.66
1000,0.1,100,50,10,16,0.75
1000,0.1,100,50,10,17,0.68
1000,0.1,100,50,10,18,0.735
1000,0.1,100,50,10,19,0.635
1000,0.1,100,50,10,20,0.68
1500,0.1,150,50,10,1,0.68
1500,0.1,150,50,10,2,0.71
1500,0.1,150,50,10,3,0.655
1500,0.1,150,50,10,4,0.645
1500,0.1,150,50,10,5,0.65
1500,0.1,150,50,10,6,0.675
1500,0.1,150,50,10,7,0.67
1500,0.1,150,50,10,8,0.71
1500,0.1,150,50,10,9,0.695
1500,0.1,150,50,10,10,0.685
1500,0.1,150,50,10,11,0.7
1500,0.1,150,50,10,12,0.715
1500,0.1,150,50,10,13,0.725
1500,0.1,150,50,10,14,0.725
1500,0.1,150,50,10,15,0.72
1500,0.1,150,50,10,16,0.7
1500,0.1,150,50,10,17,0.69
1500,0.1,150,50,10,18,0.715
1500,0.1,150,50,10,19,0.685
1500,0.1,150,50,10,20,0.71
2000,0.1,200,50,10,1,0.66
2000,0.1,200,50,10,2,0.69
2000,0.1,200,50,10,3,0.705
2000,0.1,200,50,10,4,0.715
2000,0.1,200,50,10,5,0.735
2000,0.1,200,50,10,6,0.655
2000,0.1,200,50,10,7,0.605
2000,0.1,200,50,10,8,0.72
2000,0.1,200,50,10,9,0.65
2000,0.1,200,50,10,10,0.61
2000,0.1,200,50,10,11,0.685
2000,0.1,200,50,10,12,0.65
2000,0.1,200,50,10,13,0.71
2000,0.1,200,50,10,14,0.705
2000,0.1,200,50,10,15,0.69
2000,0.1,200,50,10,16,0.645
2000,0.1,200,50,10,17,0.7
2000,0.1,200,50,10,18,0.65
2000,0.1,200,50,10,19,0.645
2000,0.1,200,50,10,20,0.625
3000,0.1,300,50,10,1,0.65
3000,0.1,300,50,10,2,0.63
3000,0.1,300,50,10,3,0.67
3000,0.1,300,50,10,4,0.76
3000,0.1,300,50,10,5,0.675
3000,0.1,300,50,10,6,0.63
3000,0.1,300,50,10,7,0.68
3000,0.1,300,50,10,8,0.65
3000,0.1,300,50,10,9,0.575
3000,0.1,300,50,10,10,0.685
3000,0.1,300,50,10,11,0.695
3000,0.1,300,50,10,12,0.635
3000,0.1,300,50,10,13,0.705
3000,0.1,300,50,10,14,0.695
3000,0.1,300,50,10,15,0.66
3000,0.1,300,50,10,16,0.63
3000,0.1,300,50,10,17,0.685
3000,0.1,300,50,10,18,0.62
3000,0.1,300,50,10,19,0.635
3000,0.1,300,50,10,20,0.65
5000,0.1,500,50,10,1,0.66
5000,0.1,500,50,10,2,0.62
5000,0.1,500,50,10,3,0.615
5000,0.1,500,50,10,4,0.685
5000,0.1,500,50,10,5,0.665
5000,0.1,500,50,10,6,0.63
5000,0.1,500,50,10,7,0.75
5000,0.1,500,50,10,8,0.65
5000,0.1,500,50,10,9,0.63
5000,0.1,500,50,10,10,0.68
5000,0.1,500,50,10,11,0.63
5000,0.1,500,50,10,12,0.66
5000,0.1,500,50,10,13,0.685
5000,0.1,500,50,10,14,0.615
5000,0.1,500,50,10,15,0.635
5000,0.1,500,50,10,16,0.63
5000,0.1,500,50,10,17,0.65
5000,0.1,500,50,10,18,0.68
5000,0.1,500,50,10,19,0.695
5000,0.1,500,50,10,20,0.655
7000,0.1,700,50,10,1,0.605
7000,0.1,700,50,10,2,0.635
7000,0.1,700,50,10,3,0.675
7000,0.1,700,50,10,4,0.655
7000,0.1,700,50,10,5,0.68
7000,0.1,700,50,10,6,0.6
7000,0.1,700,50,10,7,0.61
7000,0.1,700,50,10,8,0.695
7000,0.1,700,50,10,9,0.645
7000,0.1,700,50,10,10,0.605
7000,0.1,700,50,10,11,0.65
7000,0.1,700,50,10,12,0.665
7000,0.1,700,50,10,13,0.66
7000,0.1,700,50,10,14,0.69
7000,0.1,700,50,10,15,0.64
7000,0.1,700,50,10,16,0.65
7000,0.1,700,50,10,17,0.65
7000,0.1,700,50,10,18,0.625
7000,0.1,700,50,10,19,0.665
7000,0.1,700,50,10,20,0.68
