dataset,run_dir,ID,Description,collection,selected,consensus,stability,p.adjust,neg_log10_p_adjust,category
dataset_2,DATASET_2_BASELINE_2026-03-04_11-29-07,GO:0006493,protein O-linked glycosylation,GO,FALSE,FALSE,0.005,0.5217535098046661,0.2825346207796677,Filtered out
dataset_2,DATASET_2_BASELINE_2026-03-04_11-29-07,GO:0021542,dentate gyrus development,GO,FALSE,FALSE,0.005,0.5217535098046661,0.2825346207796677,Filtered out
dataset_2,DATASET_2_BASELINE_2026-03-04_11-29-07,GO:0035767,endothelial cell chemotaxis,GO,FALSE,FALSE,0,0.5217535098046661,0.2825346207796677,Filtered out
dataset_2,DATASET_2_BASELINE_2026-03-04_11-29-07,GO:0035864,response to potassium ion,GO,FALSE,FALSE,0,0.5217535098046661,0.2825346207796677,Filtered out
dataset_2,DATASET_2_BASELINE_2026-03-04_11-29-07,GO:0055010,ventricular cardiac muscle tissue morphogenesis,GO,FALSE,FALSE,0,0.5217535098046661,0.2825346207796677,Filtered out
dataset_2,DATASET_2_BASELINE_2026-03-04_11-29-07,GO:0060998,regulation of dendritic spine development,GO,FALSE,FALSE,0,0.5217535098046661,0.2825346207796677,Filtered out
dataset_2,DATASET_2_BASELINE_2026-03-04_11-29-07,GO:0003229,ventricular cardiac muscle tissue development,GO,FALSE,FALSE,0,0.5217535098046661,0.2825346207796677,Filtered out
dataset_2,DATASET_2_BASELINE_2026-03-04_11-29-07,GO:0007193,adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway,GO,FALSE,FALSE,0,0.5217535098046661,0.2825346207796677,Filtered out
dataset_2,DATASET_2_BASELINE_2026-03-04_11-29-07,GO:0010594,regulation of endothelial cell migration,GO,FALSE,FALSE,0,0.5217535098046661,0.2825346207796677,Filtered out
dataset_2,DATASET_2_BASELINE_2026-03-04_11-29-07,GO:0021915,neural tube development,GO,FALSE,FALSE,0,0.5217535098046661,0.2825346207796677,Filtered out
dataset_2,DATASET_2_BASELINE_2026-03-04_11-29-07,GO:0048568,embryonic organ development,GO,FALSE,FALSE,0,0.5217535098046661,0.2825346207796677,Filtered out
dataset_2,DATASET_2_BASELINE_2026-03-04_11-29-07,GO:0045765,regulation of angiogenesis,GO,FALSE,FALSE,0,0.5217535098046661,0.2825346207796677,Filtered out
dataset_2,DATASET_2_BASELINE_2026-03-04_11-29-07,GO:0034765,regulation of monoatomic ion transmembrane transport,GO,FALSE,FALSE,0,0.5217535098046661,0.2825346207796677,Filtered out
dataset_2,DATASET_2_BASELINE_2026-03-04_11-29-07,GO:0060537,muscle tissue development,GO,FALSE,FALSE,0,0.5217535098046661,0.2825346207796677,Filtered out
dataset_2,DATASET_2_BASELINE_2026-03-04_11-29-07,GO:0098655,monoatomic cation transmembrane transport,GO,FALSE,FALSE,0,0.5217535098046661,0.2825346207796677,Filtered out
dataset_2,DATASET_2_BASELINE_2026-03-04_11-29-07,GO:0001568,blood vessel development,GO,FALSE,FALSE,0,0.5217535098046661,0.2825346207796677,Filtered out
dataset_2,DATASET_2_BASELINE_2026-03-04_11-29-07,GO:0016477,cell migration,GO,FALSE,FALSE,0,0.5217535098046661,0.2825346207796677,Filtered out
dataset_3,DATASET_3_BASELINE_2026-03-04_14-54-56,WP466,DNA replication,WP,TRUE,TRUE,1,1.2082088657032216e-7,6.917857981789916,Selected + Consensus
dataset_3,DATASET_3_BASELINE_2026-03-04_14-54-56,GO:0006270,DNA replication initiation,GO,TRUE,TRUE,0.99,3.797260472857706e-5,4.420529611434103,Selected + Consensus
dataset_3,DATASET_3_BASELINE_2026-03-04_14-54-56,WP4963,p53 transcriptional gene network,WP,TRUE,FALSE,1,6.997388458606431e-10,9.155064015648199,Selected only
dataset_3,DATASET_3_BASELINE_2026-03-04_14-54-56,WP2446,Retinoblastoma gene in cancer,WP,TRUE,FALSE,1,3.179054783617201e-9,8.497701987965176,Selected only
dataset_3,DATASET_3_BASELINE_2026-03-04_14-54-56,WP707,DNA damage response,WP,TRUE,FALSE,1,9.255996684905993e-6,5.033576809601606,Selected only
dataset_3,DATASET_3_BASELINE_2026-03-04_14-54-56,GO:0000086,G2/M transition of mitotic cell cycle,GO,TRUE,FALSE,1,1.0430744174309969e-5,4.981684706025319,Selected only
dataset_3,DATASET_3_BASELINE_2026-03-04_14-54-56,WP5218,Extrafollicular and follicular B cell activation by SARS CoV 2,WP,TRUE,FALSE,0.995,5.959875010947866e-4,3.224762848082722,Selected only
dataset_3,DATASET_3_BASELINE_2026-03-04_14-54-56,WP2361,Gastric cancer network 1,WP,TRUE,FALSE,0.995,8.515701303348957e-4,3.069779580275325,Selected only
dataset_3,DATASET_3_BASELINE_2026-03-04_14-54-56,WP58,Monoamine GPCRs,WP,TRUE,FALSE,0.995,0.0044652023356707,2.3501588567587923,Selected only
dataset_3,DATASET_3_BASELINE_2026-03-04_14-54-56,WP619,Type II interferon signaling,WP,TRUE,FALSE,0.99,8.515701303348957e-4,3.069779580275325,Selected only
dataset_3,DATASET_3_BASELINE_2026-03-04_14-54-56,WP4016,DNA IR damage and cellular response via ATR,WP,TRUE,FALSE,0.99,0.0044652023356707,2.3501588567587923,Selected only
dataset_3,DATASET_3_BASELINE_2026-03-04_14-54-56,WP3391,Senescence associated secretory phenotype SASP,WP,TRUE,FALSE,0.99,0.0044652023356707,2.3501588567587923,Selected only
dataset_3,DATASET_3_BASELINE_2026-03-04_14-54-56,WP1971,Integrated cancer pathway,WP,TRUE,FALSE,0.985,0.0044652023356707,2.3501588567587923,Selected only
dataset_3,DATASET_3_BASELINE_2026-03-04_14-54-56,WP455,GPCRs class A rhodopsin like,WP,TRUE,FALSE,0.98,0.01855220810171735,1.73160439282411,Selected only
dataset_3,DATASET_3_BASELINE_2026-03-04_14-54-56,GO:0007094,mitotic spindle assembly checkpoint signaling,GO,TRUE,FALSE,0.975,6.738928080957898e-4,3.1714091784717158,Selected only
dataset_3,DATASET_3_BASELINE_2026-03-04_14-54-56,WP5055,Burn wound healing,WP,TRUE,FALSE,0.955,0.02424427430235911,1.6153908109791775,Selected only
dataset_3,DATASET_3_BASELINE_2026-03-04_14-54-56,WP5491,Transcriptional regulation of memory B cell differentiation,WP,TRUE,FALSE,0.955,0.02424427430235911,1.6153908109791775,Selected only
dataset_3,DATASET_3_BASELINE_2026-03-04_14-54-56,WP5117,Cohesin complex Cornelia de Lange syndrome,WP,TRUE,FALSE,0.94,0.01753231579977654,1.7561607152445713,Selected only
dataset_3,DATASET_3_BASELINE_2026-03-04_14-54-56,WP4197,Immune response to tuberculosis,WP,TRUE,FALSE,0.92,0.00794342199385081,2.0999923649675893,Selected only
dataset_3,DATASET_3_BASELINE_2026-03-04_14-54-56,WP3982,miRNA regulation of p53 pathway in prostate cancer,WP,TRUE,FALSE,0.9,0.02483542524889078,1.6049283993222485,Selected only
dataset_3,DATASET_3_BASELINE_2026-03-04_14-54-56,GO:0000281,mitotic cytokinesis,GO,TRUE,FALSE,0.9,0.03811030666072509,1.4189575565932253,Selected only
dataset_3,DATASET_3_BASELINE_2026-03-04_14-54-56,GO:0061844,antimicrobial humoral immune response mediated by antimicrobial peptide,GO,TRUE,FALSE,0.885,0.01983320140688534,1.702607177820639,Selected only
dataset_3,DATASET_3_BASELINE_2026-03-04_14-54-56,GO:0000070,mitotic sister chromatid segregation,GO,TRUE,FALSE,0.81,1.2668073930807103e-6,5.897289410752614,Selected only
dataset_3,DATASET_3_BASELINE_2026-03-04_14-54-56,GO:0007095,mitotic G2 DNA damage checkpoint signaling,GO,TRUE,FALSE,0.8,0.0334275293664158,1.47589572098995,Selected only
dataset_3,DATASET_3_BASELINE_2026-03-04_14-54-56,GO:0007131,reciprocal meiotic recombination,GO,FALSE,FALSE,0.62,0.02426598343077684,1.6150021032811062,Filtered out
dataset_3,DATASET_3_BASELINE_2026-03-04_14-54-56,GO:0014075,response to amine,GO,FALSE,FALSE,0.605,0.03143095883758157,1.502642370127218,Filtered out
dataset_3,DATASET_3_BASELINE_2026-03-04_14-54-56,GO:0009410,response to xenobiotic stimulus,GO,FALSE,FALSE,0.58,0.04489009950702698,1.3478494319049894,Filtered out
dataset_3,DATASET_3_BASELINE_2026-03-04_14-54-56,GO:0007088,regulation of mitotic nuclear division,GO,FALSE,FALSE,0.365,1.604086611797919e-4,3.794772185920693,Filtered out
dataset_3,DATASET_3_BASELINE_2026-03-04_14-54-56,GO:1902850,microtubule cytoskeleton organization involved in mitosis,GO,FALSE,FALSE,0.36,2.8589166854398897e-4,3.543798500668921,Filtered out
dataset_3,DATASET_3_BASELINE_2026-03-04_14-54-56,GO:0045132,meiotic chromosome segregation,GO,FALSE,FALSE,0.345,7.818147317224123e-5,4.1068961504227355,Filtered out
dataset_3,DATASET_3_BASELINE_2026-03-04_14-54-56,GO:0051303,establishment of chromosome localization,GO,FALSE,FALSE,0.325,2.027864720569171e-4,3.6929610202804826,Filtered out
dataset_3,DATASET_3_BASELINE_2026-03-04_14-54-56,GO:0006959,humoral immune response,GO,FALSE,FALSE,0.235,0.00120801562416149,2.9179274486261133,Filtered out
dataset_3,DATASET_3_BASELINE_2026-03-04_14-54-56,GO:0032147,activation of protein kinase activity,GO,FALSE,FALSE,0.125,9.11530083305508e-4,3.040228993714453,Filtered out
dataset_3,DATASET_3_BASELINE_2026-03-04_14-54-56,GO:0007617,mating behavior,GO,FALSE,FALSE,0.08,0.02811539688077048,1.551055781551269,Filtered out
dataset_3,DATASET_3_BASELINE_2026-03-04_14-54-56,GO:0042770,signal transduction in response to DNA damage,GO,FALSE,FALSE,0.05,0.00167847338312247,2.7750855413118227,Filtered out
dataset_3,DATASET_3_BASELINE_2026-03-04_14-54-56,GO:0071459,"protein localization to chromosome, centromeric region",GO,FALSE,FALSE,0.05,0.00169962204486193,2.769647644551339,Filtered out
dataset_3,DATASET_3_BASELINE_2026-03-04_14-54-56,GO:0071312,cellular response to alkaloid,GO,FALSE,FALSE,0.02,0.03640477994108635,1.4388415898193814,Filtered out
dataset_3,DATASET_3_BASELINE_2026-03-04_14-54-56,GO:0051276,chromosome organization,GO,FALSE,FALSE,0,1.158793968824573e-5,4.9359937738350546,Filtered out
dataset_3,DATASET_3_BASELINE_2026-03-04_14-54-56,GO:0090068,positive regulation of cell cycle process,GO,FALSE,FALSE,0,5.0675751342810835e-5,4.295199803530508,Filtered out
dataset_3,DATASET_3_BASELINE_2026-03-04_14-54-56,GO:1905818,regulation of chromosome separation,GO,FALSE,FALSE,0,8.035509976916976e-5,4.094986555349594,Filtered out
dataset_3,DATASET_3_BASELINE_2026-03-04_14-54-56,GO:0090329,regulation of DNA-templated DNA replication,GO,FALSE,FALSE,0,4.741176109111913e-4,3.3241139126846226,Filtered out
dataset_3,DATASET_3_BASELINE_2026-03-04_14-54-56,GO:0033260,nuclear DNA replication,GO,FALSE,FALSE,0,6.030578857581545e-4,3.2196409992051604,Filtered out
dataset_3,DATASET_3_BASELINE_2026-03-04_14-54-56,GO:1901990,regulation of mitotic cell cycle phase transition,GO,FALSE,FALSE,0,6.738928080957898e-4,3.1714091784717158,Filtered out
dataset_3,DATASET_3_BASELINE_2026-03-04_14-54-56,GO:0065004,protein-DNA complex assembly,GO,FALSE,FALSE,0,0.0030569137388967,2.514716816180594,Filtered out
dataset_3,DATASET_3_BASELINE_2026-03-04_14-54-56,GO:0051781,positive regulation of cell division,GO,FALSE,FALSE,0,0.01874300153505686,1.7271608592470382,Filtered out
dataset_3,DATASET_3_BASELINE_2026-03-04_14-54-56,GO:0003073,regulation of systemic arterial blood pressure,GO,FALSE,FALSE,0,0.03290583763925794,1.482727049477954,Filtered out
dataset_3,DATASET_3_BASELINE_2026-03-04_14-54-56,GO:0007631,feeding behavior,GO,FALSE,FALSE,0,0.04385160764507683,1.3580144803233143,Filtered out
dataset_3,DATASET_3_BASELINE_2026-03-04_14-54-56,GO:0032465,regulation of cytokinesis,GO,FALSE,FALSE,0,0.04735136933116594,1.3246674573287043,Filtered out
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,WP558,Complement and coagulation cascades,WP,TRUE,TRUE,1,9.315016390704976e-5,4.030816376582396,Selected + Consensus
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,WP75,Toll like receptor signaling,WP,TRUE,TRUE,1,0.00154365033303341,2.8114510690470746,Selected + Consensus
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,WP2328,Allograft rejection,WP,TRUE,TRUE,1,0.00238783634448924,2.621995441831123,Selected + Consensus
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,WP5095,Overview of proinflammatory and profibrotic mediators,WP,TRUE,TRUE,0.97,0.00972542443948605,2.01209143599667,Selected + Consensus
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,WP477,Cytoplasmic ribosomal proteins,WP,TRUE,TRUE,0.965,0.01617857367476309,1.7910597690330514,Selected + Consensus
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,GO:0002181,cytoplasmic translation,GO,TRUE,TRUE,0.95,0.04510421091392166,1.3457829106428754,Selected + Consensus
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,WP5560,Lupus therapies,WP,TRUE,TRUE,0.885,0.04945937034694876,1.3057514168179545,Selected + Consensus
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,GO:0034142,toll-like receptor 4 signaling pathway,GO,TRUE,TRUE,0.88,0.00341860215520587,2.466151437914204,Selected + Consensus
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,GO:0006956,complement activation,GO,TRUE,TRUE,0.845,2.74635302985528e-4,3.5612436371416942,Selected + Consensus
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,GO:0019886,antigen processing and presentation of exogenous peptide antigen via MHC class II,GO,TRUE,TRUE,0.835,0.03950488280015925,1.4033492222948394,Selected + Consensus
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,GO:0007596,blood coagulation,GO,TRUE,TRUE,0.77,0.00130470257580258,2.8844884802104316,Selected + Consensus
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,GO:0032496,response to lipopolysaccharide,GO,TRUE,FALSE,1,1.2861168907969452e-7,6.890719558067241,Selected only
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,WP2431,Spinal cord injury,WP,TRUE,FALSE,1,1.6786098961740424e-6,5.775050220850514,Selected only
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,GO:0042742,defense response to bacterium,GO,TRUE,FALSE,0.995,8.372545827289275e-6,5.07714246666246,Selected only
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,WP3945,TYROBP causal network in microglia,WP,TRUE,FALSE,0.995,0.00556757091483947,2.2543342425961557,Selected only
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,WP5090,Complement system in neuronal development and plasticity,WP,TRUE,FALSE,0.995,0.00665677166163814,2.176736339817343,Selected only
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,GO:0032757,positive regulation of interleukin-8 production,GO,TRUE,FALSE,0.99,2.324844096529078e-4,3.633606165478252,Selected only
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,GO:0071260,cellular response to mechanical stimulus,GO,TRUE,FALSE,0.99,8.275615333243631e-4,3.0821997043925053,Selected only
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,WP5491,Transcriptional regulation of memory B cell differentiation,WP,TRUE,FALSE,0.99,0.00838872332229117,2.0763041293111195,Selected only
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,WP2806,Complement system,WP,TRUE,FALSE,0.985,0.00916719107335639,2.0377637164802294,Selected only
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,WP5561,Integrative Analysis of Treg Glial Interactions,WP,TRUE,FALSE,0.985,0.00972542443948605,2.01209143599667,Selected only
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,WP5193,Cholesterol synthesis disorders,WP,TRUE,FALSE,0.98,0.01209245727172539,1.9174854385011502,Selected only
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,WP3612,Photodynamic therapy induced NFE2L2 NRF2 survival signaling,WP,TRUE,FALSE,0.975,0.00832072049266335,2.0798390664448214,Selected only
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,WP2840,Hair follicle development cytodifferentiation stage 3 of 3,WP,TRUE,FALSE,0.975,0.0101038903561157,1.9955113752389777,Selected only
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,GO:0007528,neuromuscular junction development,GO,TRUE,FALSE,0.97,0.01562614446492455,1.8061481649215188,Selected only
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,WP3611,Photodynamic therapy induced AP 1 survival signaling,WP,TRUE,FALSE,0.965,0.00972542443948605,2.01209143599667,Selected only
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,GO:1902895,positive regulation of miRNA transcription,GO,TRUE,FALSE,0.96,0.00258679081518809,2.587238689753764,Selected only
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,GO:0043123,positive regulation of canonical NF-kappaB signal transduction,GO,TRUE,FALSE,0.96,0.00846769879257969,2.07223459881596,Selected only
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,WP3937,Microglia pathogen phagocytosis pathway,WP,TRUE,FALSE,0.96,0.01209245727172539,1.9174854385011502,Selected only
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,GO:0001659,temperature homeostasis,GO,TRUE,FALSE,0.955,0.001224570420449,2.9120162351754173,Selected only
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,WP722,Serotonin HTR1 group and FOS pathway,WP,TRUE,FALSE,0.955,0.02103007102628553,1.6771592605389862,Selected only
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,WP5130,Th17 cell differentiation pathway,WP,TRUE,FALSE,0.955,0.03265033211953775,1.4861123967181882,Selected only
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,GO:1904646,cellular response to amyloid-beta,GO,TRUE,FALSE,0.95,0.0057315507246034,2.2417278597039823,Selected only
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,WP5473,Cytokine cytokine receptor interaction,WP,TRUE,FALSE,0.95,0.02695965993946908,1.5692855901539107,Selected only
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,GO:0006816,calcium ion transport,GO,TRUE,FALSE,0.945,1.601903087850453e-5,4.795363761463321,Selected only
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,WP5198,Inflammatory bowel disease signaling,WP,TRUE,FALSE,0.945,0.02695965993946908,1.5692855901539107,Selected only
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,GO:0070371,ERK1 and ERK2 cascade,GO,TRUE,FALSE,0.94,2.914540065657633e-4,3.5354299701354357,Selected only
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,WP176,Folate metabolism,WP,TRUE,FALSE,0.935,0.02164101778362147,1.6647223180841235,Selected only
